,Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status (short),County,Region,Country,X-coordinate,Y-coordinate,Planning Permission Granted,Under Construction,Operational
2044,2516,Centrica,Docking Shoal A,Wind Offshore,540,Application Refused,Offshore,Offshore,England,588560,366879,,,
2045,2517,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank C (was Teesside A),Wind Offshore,1200,Under Construction,Offshore,Offshore,England,675550,599192,05/08/2015,01/03/2022,
2046,2519,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,389,Operational,Offshore,Offshore,England,304230,455334,04/09/2008,21/05/2013,30/10/2014
2047,2520, E.ON UK,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,400,Operational,Offshore,Offshore,England,528790,83836,16/07/2014,25/01/2016,26/11/2017
2048,2521,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,588,Operational,Offshore,Offshore,Scotland,344074,911416,19/03/2014,02/04/2017,05/08/2019
2049,2522,EDF Renewables Power,Neart na Gaoithe,Wind Offshore,450,Under Construction,Offshore,Offshore,Scotland,384615,708641,16/05/2017,01/01/2020,
2050,2523,EDF Energy Renewables,Blyth Offshore Wind Test Site,Wind Offshore,41.5,Operational,Offshore,Offshore,England,440591,586033,08/11/2013,22/10/2016,22/10/2017
2051,2524,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,714,Operational,Offshore,Offshore,England,685500,257000,17/06/2014,24/05/2018,28/07/2020
2052,2525,Orsted (formerly Dong Energy),Hornsea 1 - Heron & Njord,Wind Offshore,1218,Operational,Offshore,Offshore,England,626000,426000,10/12/2014,26/01/2018,01/12/2019
2053,2526,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,353,Operational,Offshore,Offshore,England,678139,227875,24/05/2013,29/07/2016,30/03/2018
