,Common Name,Settlement BMU ID,REPD ID (New),Unnamed: 0,Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status (short),County,Region,Country,X-coordinate,Y-coordinate,Planning Permission Granted,Under Construction,Operational
8,London Array Wind Farm,T_LARYW-4,2511,2039,2511,Siemens Gamesa Renewable Energy,London Array Phase 1,Wind Offshore,630,Operational,Offshore,Offshore,England,642078,197218,05/09/2007,01/03/2011,06/04/2013
10,Ormonde Offshore Wind Farm,E_OMNDW-1,2509,2037,2509,Vattenfall,Ormonde Offshore,Wind Offshore,150,Operational,Offshore,Offshore,England,306000,466842,04/09/2008,01/06/2010,22/02/2012
10,Ormonde Offshore Wind Farm,T_OMNDW-1,2509,2037,2509,Vattenfall,Ormonde Offshore,Wind Offshore,150,Operational,Offshore,Offshore,England,306000,466842,04/09/2008,01/06/2010,22/02/2012
10,Ormonde Offshore Wind Farm,E_OMNDD-1,2509,2037,2509,Vattenfall,Ormonde Offshore,Wind Offshore,150,Operational,Offshore,Offshore,England,306000,466842,04/09/2008,01/06/2010,22/02/2012
12,Race Bank Offshore Wind Farm,T_RCBKO-1,6501,5083,6501,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 2),Wind Offshore,283.5,Operational,Offshore,Offshore,England,573300,363000,,07/07/2016,01/02/2018
12,Race Bank Offshore Wind Farm,T_RCBKO-2,6501,5083,6501,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 2),Wind Offshore,283.5,Operational,Offshore,Offshore,England,573300,363000,,07/07/2016,01/02/2018
13,Rampion Offshore Wind Farm,T_RMPNO-1,2520,2047,2520, E.ON UK,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,400,Operational,Offshore,Offshore,England,528790,83836,16/07/2014,25/01/2016,26/11/2017
13,Rampion Offshore Wind Farm,T_RMPNO-2,2520,2047,2520, E.ON UK,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,400,Operational,Offshore,Offshore,England,528790,83836,16/07/2014,25/01/2016,26/11/2017
14,Sheringham Shoals Wind Farm,E_SHRSW-1,2512,2040,2512,Equinor,Sheringham Shoal,Wind Offshore,317,Operational,Offshore,Offshore,England,610671,364425,07/08/2008,30/06/2009,29/10/2012
14,Sheringham Shoals Wind Farm,T_SHRSW-1,2512,2040,2512,Equinor,Sheringham Shoal,Wind Offshore,317,Operational,Offshore,Offshore,England,610671,364425,07/08/2008,30/06/2009,29/10/2012
14,Sheringham Shoals Wind Farm,E_SHRSW-2,2512,2040,2512,Equinor,Sheringham Shoal,Wind Offshore,317,Operational,Offshore,Offshore,England,610671,364425,07/08/2008,30/06/2009,29/10/2012
14,Sheringham Shoals Wind Farm,T_SHRSW-2,2512,2040,2512,Equinor,Sheringham Shoal,Wind Offshore,317,Operational,Offshore,Offshore,England,610671,364425,07/08/2008,30/06/2009,29/10/2012
