dataset,psrType,bmUnit,nationalGridBmUnitId,settlementDate,settlementPeriod,halfHourEndTime,quantity
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,3,2022-08-31T00:30:00,116.367
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,4,2022-08-31T01:00:00,123.697
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,5,2022-08-31T01:30:00,129.067
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,6,2022-08-31T02:00:00,126.347
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,7,2022-08-31T02:30:00,122.697
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,8,2022-08-31T03:00:00,125.447
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,9,2022-08-31T03:30:00,121.527
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,10,2022-08-31T04:00:00,126.897
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,11,2022-08-31T04:30:00,131.247
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,12,2022-08-31T05:00:00,120.397
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,13,2022-08-31T05:30:00,122.317
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,14,2022-08-31T06:00:00,129.737
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,15,2022-08-31T06:30:00,133.527
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,16,2022-08-31T07:00:00,135.077
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,17,2022-08-31T07:30:00,130.907
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,18,2022-08-31T08:00:00,138.857
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,19,2022-08-31T08:30:00,153.167
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,20,2022-08-31T09:00:00,155.307
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,21,2022-08-31T09:30:00,145.547
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,22,2022-08-31T10:00:00,131.927
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,23,2022-08-31T10:30:00,131.057
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,24,2022-08-31T11:00:00,111.067
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,25,2022-08-31T11:30:00,103.427
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,26,2022-08-31T12:00:00,117.797
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,27,2022-08-31T12:30:00,108.897
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,28,2022-08-31T13:00:00,95.977
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,29,2022-08-31T13:30:00,105.467
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,30,2022-08-31T14:00:00,108.307
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,31,2022-08-31T14:30:00,119.217
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,32,2022-08-31T15:00:00,121.817
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,33,2022-08-31T15:30:00,123.267
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,34,2022-08-31T16:00:00,122.197
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,35,2022-08-31T16:30:00,143.557
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,36,2022-08-31T17:00:00,164.737
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,37,2022-08-31T17:30:00,154.557
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,38,2022-08-31T18:00:00,144.187
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,39,2022-08-31T18:30:00,162.307
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,40,2022-08-31T19:00:00,164.637
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,41,2022-08-31T19:30:00,169.337
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,42,2022-08-31T20:00:00,175.937
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,43,2022-08-31T20:30:00,168.197
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,44,2022-08-31T21:00:00,166.417
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,45,2022-08-31T21:30:00,169.457
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,46,2022-08-31T22:00:00,165.737
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,47,2022-08-31T22:30:00,155.077
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-08-31,48,2022-08-31T23:00:00,147.557
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-09-01,1,2022-08-31T23:30:00,153.347
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-09-01,2,2022-09-01T00:00:00,150.357
B1610,Generation,T_HOWAO-3,HOWAO-3,2022-09-01,3,2022-09-01T00:30:00,149.277
